probe_id,log2FoldChange,logCPM,PValue,padj
200937_s_at,-0.13361764222442823,9.083315561643346,7.925985897609751e-5,2.158939408113228e-4
200940_s_at,-0.20669911667303917,5.169773051469668,0.0021090365693873727,0.004378703249582738
200941_at,0.029743982743750324,6.225872697743709,0.5246756202496856,0.5944215228146026
200942_s_at,-0.1974174282142776,6.996684036526232,1.9041598124917382e-5,5.772287513079794e-5
200943_at,0.12301791360350933,8.019549511158452,0.002947855100587127,0.005947339301806006
200944_s_at,0.07300661926385059,8.094952005250525,0.05646016540576428,0.08551643602318008
200945_s_at,-0.14311181769754897,7.176013363004653,0.00601780683532603,0.011397172102063707
200946_x_at,0.29842622173214584,5.299427676207761,2.2187410384018545e-6,7.836918148499526e-6
200947_s_at,0.3710739118445369,5.722966579250488,1.1007392082826078e-8,5.46188936467419e-8
200948_at,0.1098103159136624,6.639949591941639,0.0309556623921359,0.049891381255747234
200949_x_at,-0.16675642372464944,9.928232911947594,1.2969247852272946e-6,4.761465121363951e-6
200950_at,-0.14491289209564923,7.072394529435586,0.003599103666245594,0.00713097791316609
200951_s_at,0.27865794709379443,3.6945310952452335,0.023847753453496993,0.039462617044688494
200953_s_at,-0.26228671219533756,7.526071118487372,0.020067052236590888,0.03387619454941667
200954_at,0.22032330936997147,5.757834990442246,2.4165388799591633e-5,7.207233023664398e-5
200955_at,0.08318520814053125,6.4055946564504636,0.01908909360102852,0.03231181225277588
200956_s_at,0.13094831894111197,5.743322691807534,0.00958027270141269,0.017380772472520598
200957_s_at,0.19571950607742994,5.69663986543165,2.3523597038038784e-5,7.033443903670374e-5
200958_s_at,-0.03430501984279633,7.904193716813754,0.4989276625051598,0.569223860321382
200959_at,0.001836728760903679,6.370085115258719,0.965136861210547,0.9727642482028969
200960_x_at,-0.14302716101573643,8.541409193904789,2.274922297598107e-4,5.691555949128566e-4
200961_at,-0.38459953557755633,7.0505412101169345,1.4259659202415583e-9,8.06566679173591e-9
200962_at,-0.01847254445052728,4.556789970123017,0.8879014496806622,0.9137452670921166
200963_x_at,-0.12744095032097066,10.341837994042674,4.346125173644713e-6,1.4627721955782535e-5
200964_at,0.1269413220531983,7.2912297158190675,0.030298066069902718,0.04893459698580851
200965_s_at,0.20487524055728884,6.367025969898296,0.003253605265752677,0.006502961420150826
200966_x_at,0.2490313399560873,8.97898836021986,2.91102030792973e-6,1.0095746377096535e-5
200967_at,0.740226028843516,8.712863304370934,6.268270961566765e-41,9.732172001632574e-39
200968_s_at,0.8022311399918423,7.830899771712055,1.2009118036888592e-36,1.286536815291875e-34
200969_at,0.1328143293810449,6.597340544377335,0.01188334982948608,0.021108661667800947
200970_s_at,0.09507060606597421,5.941534172013503,0.03161144269894778,0.05079546807167055
200971_s_at,0.18661159832995275,7.718375772070541,2.469856561873463e-9,1.3458582577492579e-8
200972_at,0.19637923404580374,8.172210257270516,0.0024090863231158973,0.004944165091866017
200973_s_at,0.2570616864955563,6.843713601389397,0.001031218533679856,0.002270800442201911
200974_at,-0.2017664471463541,8.499756846326362,0.10740713326861083,0.15064841826481118
200975_at,0.15571007937811984,7.027080422036001,0.00496363131573486,0.009570803147132389
200976_s_at,-0.4188614433813319,7.221765141853255,1.8526638336106837e-12,1.5566735411350004e-11
200977_s_at,-0.147090119804768,7.274710287095495,0.01188379271874404,0.021108661667800947
200978_at,0.10480281456252181,7.573380174327917,0.01119832336800894,0.020014620994574538
200979_at,-0.44500164855218827,4.777058566123502,1.5428062908551654e-9,8.662517711704081e-9
200980_s_at,-0.24281413236113814,6.911429500579906,5.6131848195768215e-5,1.5663987749967826e-4
200981_x_at,-0.3410597806479897,8.945319496911388,1.8419905590098613e-9,1.0203332398486372e-8
200982_s_at,-0.23450593826574376,5.619323850386878,0.016362417148375708,0.028136528878097745
200983_x_at,0.08167156232770464,7.198300867941508,0.2526179792914049,0.31974201466786634
200984_s_at,0.02749658626273081,6.399917777944951,0.6742386120824923,0.732048064380231
200985_s_at,-0.00848221464794379,7.086300546299006,0.9060823056633105,0.9279093528889251
200986_at,0.40376584932198084,5.180070677744505,0.004283992171723378,0.008371836580750192
200987_x_at,0.08340400043001779,5.4116642554062375,0.1464254250722808,0.19838821029459264
200989_at,0.5272242923681754,7.926386252868056,2.065891192855221e-20,4.54453641664435e-19
200990_at,0.16232088064062938,6.87874783825891,0.01405946078029677,0.02454677368632974
200991_s_at,0.010597158797235844,6.009034107272123,0.7762526564815058,0.8223073972991566
200992_at,-0.28945550174862494,6.997605686603929,1.9379955485470182e-7,8.016118267020929e-7
200993_at,-0.2062852853192554,6.675963906880221,2.2767860450469656e-4,5.693559500604141e-4
200994_at,-0.29029373510108136,6.405836706655205,2.1331501818852054e-7,8.765798963765326e-7
200995_at,-0.3791096443230861,5.209060856304622,2.5847456360770466e-8,1.208131762621876e-7
200996_at,0.012030725793420162,8.034346579079877,0.7539393750846364,0.8028779846204483
200997_at,0.006793058905333845,6.424028012455653,0.8540703018372683,0.886422703311631
200998_s_at,0.12282845267199785,5.418928197111727,0.13171923566026317,0.18095770346606813
200999_s_at,0.5032263725923849,6.7794077751124,2.864721150644049e-12,2.3427295944160077e-11
201000_at,-0.13848051604917272,6.030210084550581,0.013062193240414553,0.022989202593159373
201001_s_at,-0.5299164909219861,6.444691132745037,2.7394391597153778e-15,3.250012371874955e-14
201002_s_at,-0.4417355824126987,7.012018655480375,7.529852152180992e-15,8.536222868393119e-14
201003_x_at,0.32332695357712055,6.169446671323272,2.468046749774816e-10,1.5598929103444014e-9
201004_at,-0.1151798244964903,8.318016257175321,0.024462504667564517,0.04039254200117427
201005_at,-0.16058547953328337,9.084862271242308,0.0037636183655195736,0.00743356260136637
201007_at,-0.007189376222188766,6.968872902608905,0.875119072059674,0.9035418869482736
201008_s_at,-0.2703249883369013,7.095041848128966,0.01563133458594249,0.026952919269145646
201009_s_at,-0.11491176188773546,7.769208032275746,0.270668135899978,0.33896878689193977
201010_s_at,-0.07780607155797692,8.331861341980932,0.39078485019392417,0.4632597211605079
201011_at,0.45109291761454623,6.989286058131579,4.070256412684953e-18,6.856078136649985e-17
201012_at,0.6771458796282218,6.725429313291727,5.391915552977373e-8,2.4178983390140894e-7
201013_s_at,-0.016054072782081028,7.223150641082603,0.8196827618947704,0.8584672429542161
201014_s_at,0.3144636381339536,5.994422669854365,1.7264673902647156e-5,5.267913743066334e-5
201015_s_at,-0.21212725910992075,6.866659163434106,0.0018237846198737165,0.0038364224078457753
201016_at,-0.014365248768818855,6.1680778537234815,0.8652825401508356,0.8953706029784508
201017_at,-0.587058212867173,5.877903493208538,2.116458746607228e-12,1.7603744217704375e-11
201018_at,-0.30505039625847763,5.770927162658588,4.998426817129845e-4,0.001172244888176708
201019_s_at,-0.6692765889314317,7.358612997722823,4.784678357528083e-23,1.4585022760897038e-21
201020_at,0.44376574392553186,5.657363423003753,7.27769928604507e-16,9.409957965150537e-15
201021_s_at,-0.3235627786108817,8.371244501804968,2.5029437381086584e-8,1.1734807994029783e-7
201022_s_at,-0.3009632491466349,9.041823421723192,2.2735181782988336e-9,1.2471172680038608e-8
201023_at,-0.20233831003373648,6.644561678817147,1.811330834388239e-4,4.634532416718702e-4
201024_x_at,-0.10936909750379109,6.392419330061964,0.07399077372616766,0.10852452887848221
201027_s_at,-0.18122011580601596,5.478097295455261,9.065860056305115e-5,2.4451802311983053e-4
201028_s_at,0.0049935240280690385,6.474627113728499,0.937242538417868,0.9511822010298048
201029_s_at,0.016527515288508522,8.058213750678611,0.8010620270921918,0.842093758830208
201030_x_at,0.16789776534138517,8.648631964092516,0.09364322024281659,0.13340423117836359
201031_s_at,0.4611781974521538,7.467545507911897,5.921502437760426e-23,1.767048902945054e-21
201032_at,-0.4341455979261333,6.373691914487846,1.6339504090424927e-14,1.7681323971790125e-13
201033_x_at,-0.05469945222042006,10.51402862794677,0.012907524825553173,0.022754371146314158
