probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
213164_at,1.2309313823639623,5.555079341264865,12.328803419253465,6.079569184593939e-31,5.382679725169825e-29,59.45515655691956
210231_x_at,-0.6273196082060363,8.194187852979168,-12.355407031383585,4.698529581933103e-31,4.194612284270778e-29,59.388826515809356
203008_x_at,0.9365537245882314,5.441242157654017,12.316521560176739,6.846886897665588e-31,5.96347149062532e-29,59.32403069807873
202836_s_at,-0.5689028661047562,6.6405414070645215,-12.325256662558878,6.291911855000306e-31,5.525020631362153e-29,59.280308208554466
201672_s_at,-0.5847064201469844,6.636106045908589,-12.305004227990183,7.653755483033657e-31,6.612474394333836e-29,59.08537389825422
217749_at,-0.814702189843154,5.120657935806482,-12.288528983491869,8.975109546762839e-31,7.692027885957623e-29,58.98783287684735
226301_at,-0.9058132788420755,4.385829225397793,-12.27743531780373,9.990418429639766e-31,8.427350601317387e-29,58.92910561929857
214629_x_at,0.5087693900035751,8.265084962194418,12.28668495392489,9.136462167426295e-31,7.768168190447452e-29,58.83773016885299
225000_at,0.6162538475908016,6.232535897585073,12.256267226229781,1.2255499855429145e-30,1.017776511249709e-28,58.67140692499283
223454_at,-0.8697936900716446,5.113692224280709,-12.239366360619595,1.4425383444288173e-30,1.1887625602973783e-28,58.5168920076177
242277_at,1.9880468238665943,3.57650957342549,12.25741994032468,1.2119939203769418e-30,1.0143820991404825e-28,58.382133413608514
212569_at,-0.7882834190801361,4.056951661624893,-12.188070685444629,2.364120974395898e-30,1.9333456487559738e-28,58.11410691921563
225160_x_at,-0.8149820742485706,4.080858794517969,-12.186620069819249,2.3973397201832987e-30,1.945659122903309e-28,58.096810296610116
221653_x_at,-0.6993995535081629,4.324241389193255,-12.165775108189875,2.9293027548587262e-30,2.359520331789589e-28,57.880902553203896
218358_at,-0.6927899908012385,5.9920129310157995,-12.156733796478191,3.195133347999452e-30,2.5544375788894127e-28,57.69884149625672
205114_s_at,-1.3927222708554674,3.7899724407776896,-12.119247666144354,4.5785971936841556e-30,3.6066552747013497e-28,57.45498684566502
208743_s_at,0.7442989144864854,7.502364414599381,12.122514142097529,4.437397847127502e-30,3.521321713798291e-28,57.34744502909322
227134_at,-1.0648869587627803,3.480698808884162,-12.099419290785342,5.5369264050604736e-30,4.3297147866724715e-28,57.29131077410622
