"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
198,"GPM6A",-1.03811257582533,1.71215469721593e-23,"216129_at",1,"216129_at"
199,"WARS1",-1.43152842377442,2.0362648568122e-23,"218806_s_at",2,"218806_s_at;224412_s_at"
200,"WIF1",-2.42465173572029,2.08152916925821e-23,"204712_at",1,"204712_at"
201,"SYNPO2",1.39464861644393,2.1100643802907e-23,"204015_s_at",4,"204015_s_at;229963_at;203444_s_at;213664_at"
202,"CXCL10",1.74759043751903,2.16078689756999e-23,"223779_at",1,"223779_at"
203,"FCER1G",-1.20481525319913,2.41064910881283e-23,"227996_at",1,"227996_at"
204,"DHRS2",1.55418356075778,3.16128353795391e-23,"201123_s_at",1,"201123_s_at"
205,"TNNT1",1.29349627102543,4.91918804700139e-23,"202270_at",1,"202270_at"
206,"RASSF3",1.12050880496961,5.17256448193448e-23,"214617_at",1,"214617_at"
207,"LCN15",-2.55744039147167,5.77777586338916e-23,"1569532_a_at",1,"1569532_a_at"
208,"NAA15",1.03250859548632,5.89260040974162e-23,"209546_s_at",1,"209546_s_at"
209,"TYMS",-1.14566324606042,6.63102952315795e-23,"1569003_at",2,"1569003_at;240277_at"
210,"PDE10A",-1.46422731689949,6.73765697634847e-23,"207380_x_at",1,"207380_x_at"
211,"TNFSF13B",0.0557845022893101,1.02700466996781e-22,"204916_at",2,"204916_at;235433_at"
212,"LCK",-0.107076393002895,1.20540650490369e-22,"210808_s_at",2,"210808_s_at;202375_at"
213,"VMP1",1.18551269207069,2.1640821936475e-22,"204747_at",1,"204747_at"
214,"NPTX2",-1.5021829602583,2.25489094574062e-22,"216255_s_at",1,"216255_s_at"
215,"BST2",1.21484441807531,3.79085374627672e-22,"213716_s_at",1,"213716_s_at"
216,"AQP3",-1.15351440235092,5.00732530904484e-22,"242299_at",1,"242299_at"
217,"YME1L1",-1.102396677659,5.13882482010388e-22,"239449_at",1,"239449_at"
218,"USP18",1.28795093870771,5.67158496254559e-22,"204655_at",1,"204655_at"
219,"ADH1B",-0.065831122367405,7.60982902905002e-22,"1555765_a_at",2,"1555765_a_at;213201_s_at"
220,"NTRK2",-0.0501978873748401,8.8017970918938e-22,"206754_s_at",2,"206754_s_at;209792_s_at"
221,"GAS6-AS1",-1.18927349814556,1.83219722914624e-21,"239246_at",1,"239246_at"
222,"RARRES1",-0.069688766827595,2.06010691539283e-21,"229481_at",2,"229481_at;203645_s_at"
223,"BIRC3",1.22644006907408,2.12932566094473e-21,"226034_at",2,"226034_at;215049_x_at"
224,"IL1B",-1.42708251295813,2.82193642793167e-21,"232203_at",2,"232203_at;225895_at"
225,"IFIT2",1.07137440294599,3.01524982363668e-21,"209582_s_at",1,"209582_s_at"
