probe_id,deseq2_lfc,deseq2_padj,edger_lfc,edger_padj,limma_lfc,limma_padj
202419_at,0.7341360551235022,7.69758531585506e-37,0.6632206358930867,2.524773544315474e-34,-0.6679680204561549,7.59653860498356e-37
202423_at,-0.5307091845178442,1.2030140298230667e-17,-0.6012554114349765,1.4970077973034662e-20,0.6258815804071554,1.3047693049943007e-20
202424_at,0.27568567859337384,1.0578388773108606e-6,0.19756997646826735,8.691062620913325e-4,-0.19055835233056795,0.00150350093611126
202425_x_at,0.46943621753298864,1.8741735612636936e-15,0.392929329854954,2.2516758715951852e-11,-0.38096409148495225,2.9576199926674527e-10
202427_s_at,-0.2730561843102671,1.5214572799018546e-4,-0.3344453464413032,1.61299353940102e-6,0.32366235459089715,4.210067563942749e-6
202428_x_at,-0.12958850436039468,0.01437345387860118,-0.1928152588246841,5.144307931565504e-5,0.1898383836013751,8.23259885306919e-5
202429_s_at,0.3639374416690965,5.10296395212455e-7,0.30005834145968124,1.0284028472583009e-5,-0.23640343651942936,8.009977130542952e-4
202430_s_at,0.05447230904832446,0.5784077517566609,0.00175645913220269,0.9756975173241016,0.0543088981541892,0.4922677320222708
202431_s_at,-0.3448250825072621,0.00107046480058934,-0.40346119881124853,7.341311645732438e-5,0.40556927058671893,2.6762754341922644e-4
202432_at,0.37265886158830785,8.492330767626936e-10,0.2992132626127241,4.178103495319078e-7,-0.33508778171244974,8.669111110451613e-9
202433_at,0.3769107312486707,2.0157290076504937e-11,0.31672089874913373,2.470340312187188e-9,-0.32881619403357604,1.5530772098902523e-9
202436_s_at,0.5690069374235144,0.01139452304346318,0.4909264389295563,0.01610922376681017,-0.4186502082775025,0.0180822852499476
202437_s_at,0.4038714218085051,0.1151258399551315,0.930523927323312,2.941020495266808e-5,-0.5607049712227323,0.00505832703899973
202441_at,0.2041488960240271,2.0960629733371327e-5,0.1329102868403687,0.00397423980337376,-0.14553080005030097,0.00166475673751577
202442_at,0.24426906393968512,1.7711027647484838e-6,0.17929588481886258,2.651068584034591e-4,-0.19609366709166415,6.100730155274576e-5
202443_x_at,0.2727538261468838,4.5194962143598274e-5,0.2019561610852802,0.00178244981891123,-0.2191482836197362,7.880200039654348e-4
202444_s_at,0.11219487482432056,0.2818857961842001,0.04960073099421056,0.5960365397099997,-0.0392312808025255,0.6869340275307525
202446_s_at,0.1620154801699849,0.03361354709099901,0.10627291984407644,0.1170040668586523,-0.07962683271518153,0.2599864173069508
202447_at,-0.02337489688422412,0.7986203244213224,-0.08614556551748907,0.21448022618293605,0.08107641778669443,0.2288888475711106
202449_s_at,-0.0656279741976255,0.32491181076907066,-0.1433233416523836,0.02317886106840802,0.12190739864895934,0.05217817276569392
202450_s_at,0.09462178556584454,0.5746037499941126,0.026478991113073,0.850287911203427,-0.16295674657386774,0.24467117739103325
202451_at,-0.1652845419780048,0.01214140274534523,-0.2233592508058856,9.25223382157075e-5,0.22228927244629512,1.4712734356108568e-4
202454_s_at,-0.04612815546858319,0.6537980590133834,-0.1214279562325192,0.1449440684472366,0.1193357448363672,0.17990367227266366
202457_s_at,0.4521632468243863,3.2955587273179505e-10,0.3875778194920815,5.4877737375522684e-9,-0.32587548730782134,2.0365326889216653e-6
202458_at,-0.663689961253774,1.8872162600839326e-10,-0.7309819353909169,1.4748798035410835e-11,0.819231918661691,1.9119493293647325e-13
202461_at,0.41695212804962545,2.419925096560641e-15,0.353822625677256,1.1492070763294045e-12,-0.366197064479271,7.220260241135406e-14
202462_s_at,0.1474429721615804,0.01627245126302148,0.09014749535484662,0.08263923318172266,-0.09692441536455876,0.06185273498012188
202464_s_at,0.6374467977712486,2.392137196113799e-14,0.5707134153913509,1.7437851432997046e-13,-0.5694650235676281,4.496855052539043e-16
202465_at,0.23384631756630403,0.10519110630595004,0.15856286368739886,0.23628907145835928,-0.2913586209702365,0.01911662767619175
202466_at,0.2740937128303606,2.0638685869381636e-6,0.20605333337846263,1.770455178387541e-4,-0.24008709213298887,3.4999618325651992e-6
202467_s_at,0.22843387090371767,0.0016383747350912,0.17140146531583514,0.00794874803067098,-0.21460947621745496,9.248044978450872e-4
202468_s_at,0.20385672042441336,0.01089456004396738,0.14213244975298564,0.04814224620486126,-0.15942226586270633,0.02162098613419379
202469_s_at,0.19758958039841884,1.4772980529280932e-5,0.1417235860208477,2.7633608471843254e-4,-0.1500796802414705,1.2256658838624324e-4
202471_s_at,-0.10629247698615577,0.06986485985575773,-0.1757375062060014,0.00149598314504631,0.16972048792742248,0.0017147331112256
202475_at,0.0919404590685208,0.1047156690950938,0.02354674783012675,0.68374737195859,-0.04106997799077548,0.4592760082460347
202478_at,1.4646451679511856,6.216106326278599e-35,1.3951525616604368,1.564084106573916e-39,-1.2786887555978506,2.677795446764189e-37
202481_at,-0.02250845692410077,0.8229036616674319,-0.10494567948432716,0.19669619139526048,0.0990369736591714,0.2197983088943775
202483_s_at,0.19621778770961337,0.00855422941038654,0.137832220943828,0.04486077692345588,-0.1758009466930534,0.00901452200146227
202484_s_at,0.4341282509845219,1.7743960259264153e-19,0.3698812313257176,3.142347017259497e-17,-0.3967320093166079,4.096732927202172e-18
202487_s_at,-0.04622015859216051,0.5043600222182634,-0.10194687732367592,0.06535338650202768,0.08925626468265921,0.10277667734001857
202488_s_at,-0.19837142522566115,0.17626785270521791,-0.27652139013987875,0.04430179355319415,0.19713449889535617,0.1621667923749281
202489_s_at,0.00186449226357932,0.9921108776447894,-0.07530683761386982,0.5780906615970405,0.01488222902025049,0.9225897971760212
202491_s_at,0.21878346549363273,3.3424982944520756e-4,0.15582974130378302,0.00347395471142747,-0.15486200671230094,0.00269058172466971
202497_x_at,0.6060178225631074,9.042412731691074e-6,0.5401830138251155,1.932920951008632e-5,-0.48395676189861214,7.9659309942225e-6
202498_s_at,0.5973593959925517,6.946423100842232e-5,0.5326712339486411,1.131770275706414e-4,-0.4221347818405525,4.7508590401549976e-4
202499_s_at,0.8257051040940794,2.827150396293218e-6,0.7550495376564684,2.744168403794054e-6,-0.769679963718608,3.3521203083570634e-8
202501_at,0.38789845448574406,7.140923806556333e-8,0.3186973340709277,7.902006887302496e-6,-0.3273605533447142,4.632421648608812e-6
202502_at,0.2675253209118092,0.00406211179470845,0.2068844089443119,0.01792566790667772,-0.21660527966075055,0.01459472397800209
202503_s_at,0.3305956000265903,0.00125418762785555,0.2838410265912988,0.00185492253304324,-0.3519257769318949,2.2925071834498865e-4
202504_at,0.633519691534334,1.222975642618921e-4,0.5417656999068284,4.2409805556074354e-4,-0.5140592559046891,0.00439852276566443
202505_at,-0.16643809471028645,0.043158886026093,-0.22724232306627656,0.00203669357493592,0.15589154716276746,0.03467244699384098
202506_at,0.34285956965526326,1.6883745086562822e-5,0.27377634963772063,2.3887357424536785e-4,-0.22232390050001477,0.00299230492467874
