probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
206577_at,0.35600639082706215,1.265087289764643,1.9665369790188212,0.04974896809932764,0.07632259705686625,-4.538684237748148
229145_at,0.13705133062538624,4.87873718419399,2.3650754389793343,0.01837938421746199,0.031263630219382395,-4.539870674031368
1552365_at,-0.39075109138621655,2.6989515909940143,-2.0946383493494034,0.036669138073053435,0.05821524543222013,-4.54018100621397
201067_at,0.16814412263736228,5.235651492149092,2.402339431758591,0.016627607809376617,0.028537578093856406,-4.540541843579038
224446_at,-0.11862017367843006,4.706801884259841,-2.3665676150852017,0.01830623946798033,0.03114910155979563,-4.540554234494807
201110_s_at,-0.29143884874404363,4.8978496115336165,-2.3993612043690145,0.01676200049874214,0.02873140981488393,-4.541523934395192
200919_at,-0.11945158851614103,6.6873800890698005,-2.4540188221195014,0.014442041498389726,0.025108339917599663,-4.54317618582923
200914_x_at,0.19705625253984346,6.016886455134024,2.429599685816998,0.01544092090850252,0.02668041704722379,-4.543464242619402
205051_s_at,0.2859289662457938,2.5930319649749207,2.047018171361005,0.04114037128914081,0.06460521806223476,-4.544573112704153
220468_at,0.39443465925453086,4.151636698026045,2.203889523609117,0.02795386383638177,0.04567737240216194,-4.546872137399013
204023_at,-0.1704635410008921,5.28433257915561,-2.415210119677631,0.016057667569472963,0.027652434121807404,-4.548592706533611
219988_s_at,-0.0974061798472315,5.297773305847852,-2.4133703563443447,0.016138066492292408,0.02776856831543986,-4.54920167423648
226007_at,-0.11517012856918434,5.033147362792978,-2.3980672664177156,0.016820686895532785,0.028818170272164198,-4.549858264358322
230560_at,0.28714880084908767,3.63696704123066,2.139987210924588,0.03280381729781605,0.05274310291332782,-4.550151656901891
212318_at,0.13050307595271118,5.662818178672536,2.419439099490204,0.015874195567453668,0.027367191176213734,-4.551057456783445
203310_at,0.16069530925578981,5.552564247018463,2.4133736712934644,0.016137921308241064,0.02776856831543986,-4.556377127686966
218653_at,0.16352807855482562,4.817289947301668,2.345725161501946,0.019351403013869128,0.03273513034700457,-4.556622441207772
228301_x_at,-0.11190514900994555,5.932221163362298,-2.426665985146523,0.015564937158887104,0.02686870315552007,-4.5572917043285175
214011_s_at,-0.1431166965098991,6.348610908775572,-2.4370447052130584,0.015130104527232248,0.02618982223303265,-4.557559214632615
205102_at,0.16191367306814292,5.342518042237641,2.4024365407974084,0.01662324177732848,0.028534656170568818,-4.558870906181171
225638_at,0.11433296747825689,4.950148077912344,2.369025647179992,0.01818630669114107,0.030974547469347264,-4.559625402937115
1555832_s_at,-0.17837065471236987,7.203444966013343,-2.471716701262265,0.013754248655761943,0.02405309595970906,-4.560265489176899
209095_at,0.13246082460320432,6.996608902978972,2.451246034223692,0.01455251283289522,0.02527169232919541,-4.562719113848181
226909_at,0.29518576032884414,3.0266097355012938,2.068300772722043,0.03908784624247382,0.06164534346187193,-4.565144008388959
214697_s_at,0.1875375004927089,4.738940830684063,2.3270776655582073,0.020330445582346462,0.03422376862408511,-4.56527524147914
205236_x_at,0.27671048370121676,4.295872291811249,2.229074762655283,0.02622009898466453,0.04311526023372389,-4.568904107074816
203726_s_at,-0.29178769195234816,4.917807840336113,-2.3886378764630805,0.0172538442359196,0.029513082117101498,-4.570165457163149
205412_at,-0.2005210678947692,6.101529285571398,-2.425689808524827,0.015606397488057488,0.026935933025545332,-4.571774263004992
